Frequency (Hz)	Level (dB)
2519.384766	-61.254871
2540.917969	-60.796814
2562.451172	-60.781933
2583.984375	-61.081726
2605.517578	-61.324177
2627.050781	-61.823505
2648.583984	-62.120354
2670.117188	-62.158840
2691.650391	-62.049095
2713.183594	-61.902081
2734.716797	-61.441685
2756.250000	-61.144592
2777.783203	-61.390617
2799.316406	-61.572754
2820.849609	-61.310246
2842.382812	-61.228336
2863.916016	-61.464661
2885.449219	-61.572639
2906.982422	-60.995110
2928.515625	-61.067837
2950.048828	-61.314228
2971.582031	-61.511932
2993.115234	-61.543354
3014.648438	-61.915791
3036.181641	-62.046623
3057.714844	-61.884205
3079.248047	-61.986908
3100.781250	-61.502342
3122.314453	-61.199802
3143.847656	-61.797535
3165.380859	-61.682320
3186.914062	-61.561085
3208.447266	-61.563869
3229.980469	-61.588249
3251.513672	-61.814663
3273.046875	-62.369446
3294.580078	-62.251385
3316.113281	-61.899075
3337.646484	-62.598015
3359.179688	-62.969913
3380.712891	-62.953312
3402.246094	-63.254963
3423.779297	-63.387516
3445.312500	-63.327213
3466.845703	-63.449646
3488.378906	-63.451698
3509.912109	-63.262699
3531.445312	-63.353241
3552.978516	-64.032227
3574.511719	-63.785461
3596.044922	-63.773121
3617.578125	-63.845562
3639.111328	-63.783871
3660.644531	-63.655621
3682.177734	-64.419121
3703.710938	-64.318344
3725.244141	-64.057510
3746.777344	-64.318039
3768.310547	-64.454170
3789.843750	-64.105652
3811.376953	-63.820694
3832.910156	-64.217110
3854.443359	-64.544769
3875.976562	-63.929722
3897.509766	-64.391342
3919.042969	-63.943180
3940.576172	-64.113304
3962.109375	-64.563568
3983.642578	-64.546394
4005.175781	-64.422531
4026.708984	-64.633827
4048.242188	-65.310799
4069.775391	-65.195679
4091.308594	-65.093857
4112.841797	-64.977020
4134.375000	-65.158623
4155.908203	-65.104065
4177.441406	-65.484497
4198.974609	-65.263870
4220.507812	-62.936340
4242.041016	-63.829422
4263.574219	-65.864563
4285.107422	-65.711967
4306.640625	-65.528236
4328.173828	-65.731224
4349.707031	-65.377762
4371.240234	-65.549721
4392.773438	-65.722542
4414.306641	-65.762756
4435.839844	-66.108871
4457.373047	-65.776321
4478.906250	-65.152664
4500.439453	-65.449829
4521.972656	-65.755470
4543.505859	-66.211693
4565.039062	-65.903358
4586.572266	-65.742310
4608.105469	-65.707657
4629.638672	-65.395950
4651.171875	-65.612671
4672.705078	-65.836098
4694.238281	-65.980453
4715.771484	-66.748505
4737.304688	-66.860374
4758.837891	-66.762260
4780.371094	-66.803047
4801.904297	-66.978546
4823.437500	-67.061356
4844.970703	-66.716415
4866.503906	-66.688393
4888.037109	-66.865898
4909.570312	-66.501198
4931.103516	-66.290703
4952.636719	-66.517654
4974.169922	-66.967476
4995.703125	-67.258957
5017.236328	-67.576836
5038.769531	-67.859558
5060.302734	-67.705772
5081.835938	-67.687599
5103.369141	-67.655983
5124.902344	-67.671555
5146.435547	-67.971893
5167.968750	-68.278290
5189.501953	-68.469994
5211.035156	-68.476242
5232.568359	-68.066986
5254.101562	-68.151794
5275.634766	-68.422295
5297.167969	-69.220345
5318.701172	-68.780937
5340.234375	-68.601601
5361.767578	-68.709084
5383.300781	-69.143875
5404.833984	-69.427208
5426.367188	-69.376144
5447.900391	-69.496758
5469.433594	-69.036087
5490.966797	-69.521133
5512.500000	-69.379272
5534.033203	-69.673409
5555.566406	-69.675392
5577.099609	-69.814835
5598.632812	-70.758636
5620.166016	-70.151840
5641.699219	-69.959183
5663.232422	-69.598557
5684.765625	-70.263474
5706.298828	-70.048950
5727.832031	-70.637085
5749.365234	-71.154625
5770.898438	-70.660591
5792.431641	-70.644691
5813.964844	-70.971535
5835.498047	-71.348030
5857.031250	-71.267502
5878.564453	-71.496986
5900.097656	-70.917336
5921.630859	-69.965218
5943.164062	-70.454308
5964.697266	-70.493782
5986.230469	-70.831696
6007.763672	-70.906647
6029.296875	-71.135033
6050.830078	-71.096527
6072.363281	-71.519196
6093.896484	-71.554092
6115.429688	-70.654625
6136.962891	-70.825470
6158.496094	-70.561378
6180.029297	-70.792755
6201.562500	-71.597229
6223.095703	-71.599770
6244.628906	-71.259338
6266.162109	-70.729622
6287.695312	-70.420540
6309.228516	-69.407425
