Frequency (Hz)	Level (dB)
5275.634766	-54.536327
5297.167969	-55.187000
5318.701172	-55.683681
5340.234375	-56.041897
5361.767578	-55.670162
5383.300781	-54.744442
5404.833984	-53.151875
5426.367188	-52.808914
5447.900391	-53.056717
5469.433594	-52.520092
5490.966797	-51.130016
5512.500000	-50.525715
5534.033203	-50.899227
5555.566406	-50.694435
5577.099609	-50.786495
5598.632812	-50.672630
5620.166016	-49.738869
5641.699219	-49.463360
5663.232422	-49.626385
5684.765625	-49.281883
5706.298828	-49.300930
5727.832031	-48.971344
5749.365234	-50.300179
5770.898438	-51.048077
5792.431641	-50.719421
5813.964844	-49.726959
5835.498047	-49.371296
5857.031250	-50.058926
5878.564453	-50.235283
5900.097656	-50.174034
5921.630859	-50.145985
5943.164062	-51.085453
5964.697266	-51.118134
5986.230469	-50.466942
6007.763672	-49.692879
6029.296875	-49.681679
6050.830078	-50.027481
6072.363281	-49.877968
6093.896484	-49.750759
6115.429688	-50.929188
6136.962891	-51.134163
6158.496094	-51.267460
6180.029297	-51.007217
6201.562500	-50.656780
6223.095703	-50.480373
6244.628906	-51.511410
6266.162109	-52.198864
6287.695312	-52.531185
6309.228516	-52.906479
