Frequency (Hz)	Level (dB)
2627.050781	-38.336044
2648.583984	-38.326260
2670.117188	-33.952686
2691.650391	-34.092983
2713.183594	-38.324848
2734.716797	-38.695229
2756.250000	-38.118553
2777.783203	-36.679806
2799.316406	-34.695580
2820.849609	-35.990952
2842.382812	-36.702057
2863.916016	-37.874249
2885.449219	-38.052032
2906.982422	-38.404327
2928.515625	-38.404797
2950.048828	-38.414463
2971.582031	-38.308796
2993.115234	-38.300095
3014.648438	-38.249950
3036.181641	-38.366013
3057.714844	-38.206863
3079.248047	-38.273113
3100.781250	-38.589397
3122.314453	-38.652653
3143.847656	-38.441147
3165.380859	-38.422836
3186.914062	-38.476105
3208.447266	-38.300442
3229.980469	-38.178333
3251.513672	-38.180389
3273.046875	-37.977089
3294.580078	-38.085735
3316.113281	-38.295341
3337.646484	-38.220341
3359.179688	-38.016735
3380.712891	-38.027515
3402.246094	-38.085037
3423.779297	-37.970306
3445.312500	-37.557156
3466.845703	-36.769123
3488.378906	-37.408787
3509.912109	-38.498894
3531.445312	-39.238640
3552.978516	-39.242752
3574.511719	-39.460693
3596.044922	-39.667213
3617.578125	-39.615311
3639.111328	-39.688557
3660.644531	-39.723072
3682.177734	-39.442429
3703.710938	-39.318459
3725.244141	-38.485806
3746.777344	-38.536690
3768.310547	-38.944328
3789.843750	-39.682575
3811.376953	-40.212292
3832.910156	-40.526192
3854.443359	-40.460121
3875.976562	-40.633240
3897.509766	-40.341812
3919.042969	-40.458778
3940.576172	-40.274979
3962.109375	-40.013832
3983.642578	-40.007042
4005.175781	-40.474384
4026.708984	-40.492424
4048.242188	-40.731274
4069.775391	-40.866570
4091.308594	-40.899570
4112.841797	-41.104908
4134.375000	-40.883148
4155.908203	-40.841694
4177.441406	-41.220024
4198.974609	-41.108379
4220.507812	-41.203423
4242.041016	-41.239914
4263.574219	-40.715874
4285.107422	-40.025974
4306.640625	-39.094410
4328.173828	-38.823315
4349.707031	-39.548347
4371.240234	-40.469250
4392.773438	-40.563641
4414.306641	-41.078941
4435.839844	-41.533993
4457.373047	-42.000816
4478.906250	-42.163479
4500.439453	-41.993500
4521.972656	-42.094315
4543.505859	-41.829128
4565.039062	-41.389561
4586.572266	-42.065159
4608.105469	-42.670048
4629.638672	-42.438358
4651.171875	-42.049889
4672.705078	-41.412121
4694.238281	-42.055378
4715.771484	-42.551502
4737.304688	-43.197269
4758.837891	-43.400997
4780.371094	-43.358070
4801.904297	-43.442348
4823.437500	-43.420288
4844.970703	-43.682724
4866.503906	-43.984566
4888.037109	-44.234608
4909.570312	-44.287800
4931.103516	-44.505653
4952.636719	-44.260838
4974.169922	-43.737385
4995.703125	-43.306801
5017.236328	-43.199055
5038.769531	-43.574230
5060.302734	-43.654148
5081.835938	-43.318546
5103.369141	-44.567055
5124.902344	-44.058697
5146.435547	-44.036186
5167.968750	-44.046585
5189.501953	-44.306995
5211.035156	-44.397728
5232.568359	-44.842175
5254.101562	-44.988827
5275.634766	-45.010178
5297.167969	-44.985531
5318.701172	-44.925785
5340.234375	-45.070816
5361.767578	-44.991348
5383.300781	-45.121201
5404.833984	-45.444855
5426.367188	-45.243713
5447.900391	-45.245331
5469.433594	-45.660446
5490.966797	-45.801346
5512.500000	-45.839916
5534.033203	-45.874321
5555.566406	-45.657127
5577.099609	-45.699734
5598.632812	-46.241581
5620.166016	-46.351593
5641.699219	-46.243710
5663.232422	-46.378124
5684.765625	-46.713650
5706.298828	-46.666634
5727.832031	-46.541744
5749.365234	-46.647438
5770.898438	-46.669403
5792.431641	-46.579506
5813.964844	-46.746288
5835.498047	-47.061256
5857.031250	-47.327881
5878.564453	-47.314255
5900.097656	-47.203510
5921.630859	-47.369926
5943.164062	-47.290760
5964.697266	-47.323700
5986.230469	-47.229275
6007.763672	-47.209965
6029.296875	-47.447964
6050.830078	-47.433472
6072.363281	-47.642021
6093.896484	-47.861153
6115.429688	-47.787327
6136.962891	-47.988728
6158.496094	-48.017178
6180.029297	-48.208717
6201.562500	-48.147873
6223.095703	-48.105453
6244.628906	-48.406742
6266.162109	-48.764980
6287.695312	-48.877514
6309.228516	-48.959831
