Frequency (Hz)	Level (dB)
5512.500000	-69.741455
5534.033203	-69.470360
5555.566406	-69.006828
5577.099609	-68.704865
5598.632812	-69.065453
5620.166016	-69.466057
5641.699219	-69.478004
5663.232422	-69.560707
5684.765625	-69.373741
5706.298828	-69.445648
5727.832031	-68.710335
5749.365234	-68.510338
5770.898438	-69.422295
5792.431641	-69.764954
5813.964844	-70.114197
5835.498047	-69.437340
5857.031250	-68.766670
5878.564453	-70.066345
5900.097656	-69.666496
5921.630859	-69.860847
5943.164062	-70.429413
5964.697266	-70.244057
5986.230469	-70.324722
6007.763672	-70.189423
6029.296875	-69.446777
6050.830078	-68.972015
6072.363281	-68.876442
6093.896484	-69.477325
6115.429688	-69.090645
6136.962891	-68.663445
6158.496094	-68.793396
6180.029297	-68.811897
6201.562500	-69.115028
6223.095703	-69.658005
6244.628906	-69.446739
6266.162109	-69.681030
6287.695312	-69.282310
6309.228516	-68.949150
6330.761719	-69.552376
6352.294922	-70.112556
6373.828125	-69.635033
6395.361328	-67.907486
6416.894531	-68.306236
6438.427734	-69.271324
6459.960938	-69.549934
6481.494141	-70.338509
6503.027344	-70.114075
6524.560547	-68.748428
6546.093750	-69.203995
6567.626953	-69.303444
6589.160156	-69.099915
6610.693359	-68.930626
6632.226562	-69.958626
6653.759766	-69.303032
6675.292969	-69.046906
6696.826172	-69.370636
6718.359375	-69.471893
6739.892578	-68.746986
6761.425781	-68.373566
6782.958984	-69.699860
6804.492188	-69.827873
6826.025391	-70.427696
6847.558594	-69.847649
6869.091797	-69.260124
6890.625000	-69.116127
6912.158203	-68.789932
6933.691406	-69.355537
6955.224609	-69.204941
6976.757812	-68.792229
6998.291016	-69.478966
7019.824219	-69.902718
7041.357422	-67.708473
7062.890625	-67.679314
7084.423828	-68.608337
7105.957031	-68.581612
7127.490234	-68.385101
7149.023438	-68.612000
7170.556641	-68.750900
7192.089844	-67.827606
7213.623047	-66.988945
7235.156250	-68.263687
7256.689453	-67.903664
7278.222656	-67.486702
7299.755859	-68.691574
7321.289062	-67.644508
7342.822266	-66.280067
7364.355469	-67.421425
7385.888672	-66.960304
7407.421875	-67.769165
7428.955078	-69.302177
7450.488281	-68.515312
7472.021484	-67.580086
7493.554688	-67.708855
7515.087891	-69.032539
7536.621094	-69.112679
7558.154297	-69.381027
7579.687500	-68.932365
7601.220703	-68.314041
7622.753906	-69.098763
7644.287109	-70.115105
7665.820312	-68.759338
7687.353516	-67.746422
7708.886719	-68.472565
7730.419922	-68.967590
7751.953125	-68.663078
7773.486328	-69.198593
7795.019531	-68.772057
7816.552734	-68.645233
7838.085938	-68.051865
7859.619141	-68.373856
7881.152344	-68.346634
7902.685547	-67.780922
7924.218750	-67.573792
7945.751953	-68.544815
7967.285156	-68.686607
7988.818359	-67.708046
8010.351562	-67.629730
8031.884766	-67.623978
8053.417969	-67.829514
8074.951172	-67.427238
8096.484375	-68.844688
8118.017578	-69.528366
8139.550781	-68.780998
8161.083984	-70.406845
8182.617188	-68.915359
8204.150391	-68.117653
8225.683594	-68.144707
8247.216797	-68.045586
8268.750000	-69.376480
8290.283203	-68.987259
8311.816406	-68.994331
8333.349609	-69.662857
8354.882812	-69.254631
8376.416016	-68.632675
8397.949219	-69.270699
8419.482422	-69.566017
8441.015625	-70.106583
8462.548828	-69.254982
8484.082031	-68.846466
8505.615234	-69.138893
8527.148438	-69.698372
8548.681641	-69.683090
8570.214844	-68.993820
8591.748047	-69.612160
8613.281250	-69.945015
8634.814453	-69.860870
8656.347656	-69.556450
8677.880859	-69.692551
8699.414062	-69.991508
8720.947266	-69.406746
8742.480469	-69.243271
8764.013672	-69.694748
8785.546875	-70.238068
8807.080078	-69.818497
8828.613281	-69.946205
8850.146484	-69.985268
8871.679688	-70.776794
8893.212891	-70.903351
8914.746094	-70.300140
8936.279297	-69.718300
8957.812500	-70.008621
8979.345703	-70.047516
9000.878906	-69.896767
9022.412109	-70.766434
9043.945312	-70.859940
9065.478516	-70.039093
9087.011719	-69.713013
9108.544922	-70.455841
9130.078125	-70.132072
9151.611328	-70.588570
9173.144531	-71.954567
9194.677734	-71.816238
9216.210938	-70.802536
9237.744141	-70.859726
9259.277344	-70.703682
9280.810547	-68.913368
9302.343750	-69.741982
9323.876953	-71.816887
9345.410156	-70.078278
9366.943359	-68.908913
9388.476562	-70.887383
9410.009766	-70.713417
9431.542969	-70.487198
9453.076172	-69.845787
9474.609375	-69.124069
9496.142578	-70.219261
9517.675781	-70.210548
9539.208984	-70.063820
9560.742188	-70.540161
9582.275391	-70.901207
9603.808594	-71.971016
9625.341797	-71.269409
9646.875000	-71.659233
9668.408203	-71.421623
9689.941406	-71.059425
9711.474609	-71.652077
9733.007812	-71.451485
9754.541016	-70.545761
9776.074219	-70.220360
9797.607422	-71.405098
9819.140625	-70.797447
9840.673828	-71.448822
9862.207031	-72.030708
9883.740234	-71.691101
9905.273438	-70.746773
9926.806641	-70.760918
9948.339844	-71.281410
9969.873047	-71.874680
9991.406250	-72.621956
10012.939453	-72.497803
10034.472656	-71.371452
10056.005859	-70.519012
10077.539062	-70.827354
10099.072266	-71.826286
10120.605469	-71.329262
10142.138672	-70.464691
10163.671875	-70.996819
10185.205078	-72.366158
10206.738281	-71.329506
10228.271484	-71.789986
10249.804688	-71.863968
10271.337891	-71.241798
10292.871094	-70.233742
10314.404297	-70.128822
10335.937500	-69.549927
10357.470703	-69.514679
10379.003906	-69.106659
10400.537109	-68.440025
10422.070312	-68.691765
10443.603516	-70.046196
10465.136719	-70.914421
10486.669922	-71.037239
10508.203125	-71.957314
10529.736328	-71.209633
10551.269531	-70.107391
10572.802734	-68.649612
10594.335938	-67.302765
10615.869141	-66.561234
10637.402344	-66.253609
10658.935547	-66.028816
10680.468750	-65.934319
10702.001953	-66.371513
10723.535156	-67.241776
10745.068359	-69.118477
10766.601562	-70.505760
10788.134766	-72.202797
10809.667969	-72.836205
10831.201172	-70.827263
10852.734375	-69.632904
10874.267578	-69.399544
10895.800781	-68.842239
10917.333984	-67.911690
10938.867188	-67.709381
10960.400391	-68.239143
10981.933594	-68.330940
11003.466797	-68.438316
