Frequency (Hz)	Level (dB)
2605.517578	-43.126354
2627.050781	-43.374325
2648.583984	-43.324875
2670.117188	-43.426224
2691.650391	-43.610855
2713.183594	-43.622993
2734.716797	-43.396503
2756.250000	-43.007648
2777.783203	-42.516140
2799.316406	-42.169331
2820.849609	-42.146919
2842.382812	-42.221748
2863.916016	-41.151402
2885.449219	-40.304123
2906.982422	-40.740860
2928.515625	-41.145443
2950.048828	-41.338226
2971.582031	-40.916973
2993.115234	-40.346561
3014.648438	-40.986496
3036.181641	-41.666145
3057.714844	-41.040401
3079.248047	-40.656174
3100.781250	-40.980747
3122.314453	-41.190208
3143.847656	-41.158222
3165.380859	-40.248909
3186.914062	-39.621357
3208.447266	-39.150475
3229.980469	-38.633377
3251.513672	-38.061096
3273.046875	-38.632095
3294.580078	-39.715523
3316.113281	-39.260410
3337.646484	-39.574699
3359.179688	-39.617748
3380.712891	-39.639023
3402.246094	-39.624908
3423.779297	-39.065498
3445.312500	-39.242485
3466.845703	-38.811092
3488.378906	-38.648102
3509.912109	-39.606800
3531.445312	-40.219082
3552.978516	-40.037201
3574.511719	-39.794163
3596.044922	-39.216129
3617.578125	-38.761078
3639.111328	-38.776619
3660.644531	-40.060932
3682.177734	-40.403580
3703.710938	-40.272953
3725.244141	-40.309891
3746.777344	-40.293629
3768.310547	-40.277489
3789.843750	-40.756969
3811.376953	-39.902851
3832.910156	-40.000893
3854.443359	-40.207321
3875.976562	-40.172066
3897.509766	-40.385456
3919.042969	-40.316818
3940.576172	-40.780697
3962.109375	-40.479652
3983.642578	-39.608437
4005.175781	-38.670692
4026.708984	-38.849716
4048.242188	-39.576084
4069.775391	-39.368904
4091.308594	-38.579002
4112.841797	-38.919685
4134.375000	-39.729771
4155.908203	-39.558804
4177.441406	-39.749306
4198.974609	-40.376366
4220.507812	-40.396584
4242.041016	-40.362324
4263.574219	-40.301075
4285.107422	-39.668396
4306.640625	-39.730785
4328.173828	-40.371124
4349.707031	-40.893166
4371.240234	-40.829041
4392.773438	-40.460815
4414.306641	-40.037182
4435.839844	-39.996513
4457.373047	-39.737404
4478.906250	-40.836159
4500.439453	-41.831676
4521.972656	-41.494064
4543.505859	-41.076916
4565.039062	-41.238670
4586.572266	-41.640499
4608.105469	-42.159298
4629.638672	-42.272995
4651.171875	-42.060806
4672.705078	-41.518078
4694.238281	-41.825130
4715.771484	-42.462265
4737.304688	-43.217037
4758.837891	-42.962620
4780.371094	-43.091026
4801.904297	-42.983437
4823.437500	-42.678757
4844.970703	-42.504375
4866.503906	-43.279652
4888.037109	-44.018143
4909.570312	-44.145679
4931.103516	-44.084476
4952.636719	-44.420624
4974.169922	-44.898926
4995.703125	-44.891514
5017.236328	-45.157425
5038.769531	-44.995514
5060.302734	-44.782871
5081.835938	-44.780365
5103.369141	-44.545338
5124.902344	-44.861160
5146.435547	-44.954285
5167.968750	-45.017609
5189.501953	-45.063358
5211.035156	-45.149529
5232.568359	-45.448196
5254.101562	-45.518990
5275.634766	-45.770973
5297.167969	-45.875553
5318.701172	-45.933750
5340.234375	-46.213108
5361.767578	-46.233440
5383.300781	-46.281456
5404.833984	-46.163666
5426.367188	-45.642162
5447.900391	-45.266075
5469.433594	-44.846054
5490.966797	-44.611649
5512.500000	-44.939819
5534.033203	-44.924232
5555.566406	-44.556976
5577.099609	-44.452267
5598.632812	-44.368843
5620.166016	-44.970184
5641.699219	-45.733978
5663.232422	-46.067455
5684.765625	-45.364902
5706.298828	-45.060925
5727.832031	-45.713966
5749.365234	-45.959949
5770.898438	-46.015049
5792.431641	-46.129532
5813.964844	-45.597630
5835.498047	-45.414013
5857.031250	-45.366661
5878.564453	-45.679245
5900.097656	-45.703365
5921.630859	-45.983910
5943.164062	-46.622185
5964.697266	-46.879639
5986.230469	-47.126381
6007.763672	-47.445633
6029.296875	-48.200203
6050.830078	-48.904953
6072.363281	-48.720222
6093.896484	-47.660458
6115.429688	-47.066376
6136.962891	-46.998798
6158.496094	-47.146076
6180.029297	-46.946941
6201.562500	-46.791874
6223.095703	-47.119072
6244.628906	-47.275471
6266.162109	-47.577827
6287.695312	-47.863972
6309.228516	-47.986038
