Frequency (Hz)	Level (dB)
3983.642578	-54.893665
4005.175781	-54.947964
4026.708984	-55.014259
4048.242188	-55.298515
4069.775391	-55.615143
4091.308594	-55.740681
4112.841797	-55.646294
4134.375000	-55.725964
4155.908203	-55.615185
4177.441406	-55.490280
4198.974609	-55.669025
4220.507812	-55.546997
4242.041016	-55.585594
4263.574219	-55.639122
4285.107422	-55.984909
4306.640625	-56.361847
4328.173828	-56.557201
4349.707031	-56.541679
4371.240234	-56.514107
4392.773438	-56.424877
4414.306641	-56.921562
4435.839844	-57.004875
4457.373047	-56.882153
4478.906250	-56.679131
4500.439453	-56.964996
4521.972656	-57.325439
4543.505859	-57.553646
4565.039062	-57.360931
4586.572266	-57.248154
4608.105469	-57.196388
4629.638672	-57.232742
4651.171875	-57.589931
4672.705078	-58.029770
4694.238281	-58.298542
4715.771484	-58.450432
4737.304688	-58.672321
4758.837891	-58.970898
4780.371094	-59.027058
4801.904297	-59.086876
4823.437500	-59.234665
4844.970703	-59.008732
4866.503906	-59.079254
4888.037109	-59.242508
4909.570312	-59.353455
4931.103516	-59.270493
4952.636719	-59.467987
4974.169922	-60.014374
4995.703125	-59.841892
5017.236328	-59.581696
5038.769531	-59.637207
5060.302734	-59.603092
5081.835938	-59.806522
5103.369141	-60.131615
5124.902344	-60.272491
5146.435547	-60.398441
5167.968750	-60.736721
5189.501953	-60.572491
5211.035156	-60.382595
5232.568359	-60.440586
5254.101562	-60.690674
5275.634766	-60.872932
5297.167969	-61.059525
5318.701172	-60.919781
5340.234375	-60.802586
5361.767578	-60.723454
5383.300781	-61.321213
5404.833984	-61.294235
5426.367188	-61.126575
5447.900391	-60.991909
5469.433594	-61.297089
5490.966797	-61.541012
5512.500000	-61.888699
5534.033203	-61.816254
5555.566406	-61.771000
5577.099609	-62.030186
5598.632812	-62.220409
5620.166016	-62.565861
5641.699219	-62.543964
5663.232422	-62.381660
5684.765625	-62.345654
5706.298828	-62.709999
5727.832031	-62.947071
5749.365234	-62.887691
5770.898438	-62.960720
5792.431641	-63.127609
5813.964844	-63.003620
5835.498047	-63.369961
5857.031250	-63.438995
5878.564453	-63.747822
5900.097656	-63.903801
5921.630859	-63.648273
5943.164062	-63.745117
5964.697266	-63.826126
5986.230469	-63.754860
6007.763672	-64.087624
6029.296875	-64.416336
6050.830078	-64.374496
6072.363281	-64.484207
6093.896484	-64.745987
6115.429688	-64.629227
6136.962891	-64.478897
6158.496094	-64.474739
6180.029297	-64.922112
6201.562500	-64.976776
6223.095703	-65.300316
6244.628906	-65.574951
6266.162109	-65.336525
6287.695312	-65.257835
6309.228516	-65.283211
